,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg,Divergence,Original
263,13.0,52.0,17.81,+,31.0,26.0,46.7,AT17,FRI,208.07420833333333,31.44630555555556,['FRI'],FRI
273,15.0,27.0,44.61,+,28.0,55.0,6.6,AT17,FRII,231.93587499999995,28.9185,"['FRI', 'FRI', 'FRII', 'FRI', 'FRI']",FRI
303,13.0,2.0,48.7,+,47.0,55.0,10.6,AT17,FRI,195.70291666666665,47.91961111111111,['FRI'],FRI
352,10.0,42.0,33.38,+,36.0,39.0,46.5,AT17,FRI,160.6390833333333,36.66291666666667,['FRI'],FRI
434,7.0,45.0,42.13,+,31.0,42.0,52.6,AT17,FRII,116.42554166666666,31.71461111111111,['FRII'],FRII
435,7.0,59.0,47.26,+,37.0,38.0,50.2,AT17,FRII,119.94691666666664,37.64727777777778,['FRII'],FRII
449,9.0,22.0,49.93,+,53.0,2.0,21.2,AT17,FRII,140.70804166666665,53.03922222222222,['FRII'],FRII
459,10.0,58.0,58.69,+,43.0,1.0,23.7,AT17,FRII,164.74454166666666,43.02325,['FRII'],FRII
468,12.0,0.0,59.77,+,31.0,33.0,57.9,AT17,FRII,180.24904166666664,31.56608333333333,['FRII'],FRII
471,12.0,20.0,33.88,+,33.0,43.0,10.9,AT17,FRII,185.14116666666663,33.71969444444445,['FRII'],FRII
477,12.0,54.0,11.68,+,27.0,37.0,32.7,AT17,FRII,193.54866666666663,27.62575,['FRII'],FRII
491,15.0,31.0,25.36,+,35.0,33.0,40.6,AT17,FRII,232.85566666666665,35.561277777777775,['FRII'],FRII
492,15.0,35.0,1.27,+,55.0,36.0,49.8,AT17,FRII,233.75529166666664,55.61383333333333,['FRII'],FRII
498,16.0,17.0,43.28,+,32.0,23.0,2.4,AT17,FRII,244.43033333333327,32.384,['FRII'],FRII
503,16.0,43.0,5.93,+,37.0,29.0,34.4,AT17,FRII,250.77470833333325,37.49288888888889,['FRII'],FRII
505,17.0,5.0,6.57,+,38.0,40.0,37.6,AT17,FRII,256.27737499999995,38.67711111111111,['FRII'],FRII
506,17.0,10.0,44.11,+,46.0,1.0,30.3,AT17,FRII,257.68379166666665,46.025083333333335,['FRII'],FRII
523,10.0,25.0,29.87,+,42.0,57.0,43.1,AT17,FRII,156.3744583333333,42.96197222222222,['FRII'],FRII
525,10.0,27.0,32.89,+,48.0,17.0,6.4,AT17,FRII,156.88704166666665,48.28511111111111,['FRII'],FRII
534,11.0,26.0,8.53,+,30.0,3.0,36.5,AT17,FRII,171.53554166666663,30.06013888888889,['FRII'],FRII
539,11.0,44.0,21.23,+,29.0,58.0,25.3,AT17,FRII,176.0884583333333,29.973694444444444,['FRII'],FRII
543,11.0,55.0,13.61,+,54.0,52.0,50.4,AT17,FRII,178.80670833333332,54.88066666666667,['FRII'],FRII
548,12.0,21.0,52.92,+,31.0,30.0,56.7,AT17,FRII,185.4705,31.51575,['FRII'],FRII
552,12.0,49.0,48.76,+,33.0,23.0,15.8,AT17,FRII,192.45316666666665,33.38772222222222,['FRII'],FRII
553,12.0,52.0,16.81,+,47.0,15.0,39.0,AT17,FRII,193.07004166666664,47.26083333333333,['FRII'],FRII
556,13.0,19.0,46.4,+,51.0,48.0,6.7,AT17,FRII,199.9433333333333,51.80186111111111,['FRII'],FRII
593,15.0,9.0,42.8,+,29.0,39.0,2.8,AT17,FRII,227.4283333333333,29.650777777777776,['FRII'],FRII
782,7.0,27.0,25.441920000000025,+,31.0,9.0,26.210159999999973,CRUMB,FRI,111.856008,31.1572806,['FRI'],FRI
791,7.0,35.0,40.20395999999863,+,25.0,10.0,14.530080000002954,CRUMB,FRI,113.91751649999998,25.1707028,['FRI'],FRI
799,7.0,43.0,5.791080000000619,+,27.0,10.0,26.42016000000353,CRUMB,FRI,115.7741295,27.1740056,['FRI'],FRI
813,7.0,53.0,9.909959999999955,+,35.0,55.0,57.10008000000926,CRUMB,FRI,118.29129149999996,35.9325278,['FRI'],FRI
829,8.0,1.0,35.320080000001184,+,50.0,9.0,42.99984000001075,CRUMB,FRII,120.397167,50.1619444,"['FRII', 'FRI', 'FRII', 'FRII']",FRI
831,8.0,3.0,26.619839999999044,+,30.0,37.0,24.9999600000055,CRUMB,FRI,120.86091599999996,30.6236111,['FRI'],FRI
844,8.0,10.0,3.669959999997019,+,42.0,28.0,4.000080000001276,CRUMB,FRII,122.51529149999998,42.4677778,['FRII'],FRII
851,8.0,12.0,59.47991999999999,+,32.0,43.0,5.599919999998519,CRUMB,FRII,123.247833,32.7182222,['FRII'],FRII
855,8.0,13.0,36.069960000000805,+,48.0,13.0,1.899839999988444,CRUMB,FRII,123.4002915,48.2171944,['FRII'],FRII
862,8.0,15.0,45.54108000000241,+,37.0,10.0,35.51988000000961,CRUMB,FRI,123.9397545,37.1765333,['FRI'],FRI
868,8.0,16.0,59.900160000000966,+,57.0,16.0,34.66992000000687,CRUMB,FRI,124.24958399999998,57.2762972,['FRI'],FRI
879,8.0,19.0,39.74592000000271,+,57.0,45.0,59.91983999998922,CRUMB,FRI,124.915608,57.7666444,['FRI'],FRI
885,8.0,21.0,33.77015999999898,+,47.0,2.0,35.70000000000164,CRUMB,FRII,125.390709,47.04325,['FRII'],FRII
895,8.0,24.0,43.72811999999712,+,52.0,0.0,26.69004000001109,CRUMB,FRI,126.18220049999998,52.0074139,['FRI'],FRI
907,8.0,27.0,25.40016000000122,+,29.0,18.0,44.79984000000144,CRUMB,FRII,126.855834,29.3124444,['FRII'],FRII
912,8.0,29.0,10.502880000001936,+,63.0,22.0,37.61003999999161,CRUMB,FRI,127.293762,63.3771139,['FRI'],FRI
937,8.0,39.0,6.500159999997948,+,57.0,54.0,13.39991999998972,CRUMB,FRII,129.77708399999997,57.9037222,['FRII'],FRII
938,8.0,39.0,30.29183999999944,+,59.0,49.0,47.26992000000564,CRUMB,FRI,129.87621599999997,59.8297972,['FRI'],FRI
942,8.0,41.0,24.69192000000092,+,61.0,12.0,16.340040000010276,CRUMB,FRI,130.352883,61.2045389,['FRI'],FRI
946,8.0,41.0,59.65008000000097,+,50.0,5.0,51.69984000000625,CRUMB,FRI,130.498542,50.0976944,['FRI'],FRI
967,8.0,49.0,33.85488000000038,+,28.0,22.0,10.599960000000692,CRUMB,FRI,132.39106199999998,28.3696111,['FRI'],FRI
981,8.0,53.0,21.54012000000065,+,33.0,16.0,29.899920000002,CRUMB,FRI,133.33975049999998,33.2749722,['FRI'],FRI
985,8.0,57.0,40.64003999999841,+,34.0,4.0,6.399839999989467,CRUMB,FRII,134.41933349999996,34.0684444,['FRII'],FRII
990,8.0,58.0,15.260160000000129,+,50.0,53.0,25.649879999995733,CRUMB,FRI,134.563584,50.8904583,['FRI'],FRI
1011,9.0,3.0,4.794120000001527,+,45.0,9.0,53.66015999999036,CRUMB,FRI,135.7699755,45.1649056,['FRI'],FRI
1021,9.0,7.0,34.920120000000594,+,41.0,34.0,53.79996000001256,CRUMB,FRII,136.8955005,41.5816111,['FRII'],FRII
1023,9.0,8.0,50.560079999997214,+,37.0,48.0,20.199960000000488,CRUMB,FRII,137.21066699999997,37.8056111,['FRII'],FRII
1049,9.0,14.0,21.557039999998864,+,58.0,22.0,44.78016000000935,CRUMB,FRI,138.58982099999997,58.3791056,['FRI'],FRI
1061,9.0,18.0,59.98896000000016,+,31.0,51.0,49.56983999999608,CRUMB,FRI,139.74995399999997,31.8637694,['FRI'],FRI
1064,9.0,19.0,44.99688000000063,+,36.0,9.0,44.17991999998833,CRUMB,FRI,139.93748699999998,36.1622722,['FRI'],FRI
1066,9.0,20.0,49.04015999999771,+,40.0,39.0,52.8001199999926,CRUMB,FRI,140.20433399999996,40.6646667,['FRI'],FRI
1068,9.0,21.0,7.5398400000013055,+,45.0,38.0,45.70007999999575,CRUMB,FRII,140.28141599999998,45.6460278,['FRII'],FRII
1070,9.0,21.0,46.55016000000117,+,37.0,54.0,10.100160000002347,CRUMB,FRII,140.44395899999998,37.9028056,['FRII'],FRII
1094,9.0,29.0,35.01996000000091,+,62.0,56.0,59.300159999991706,CRUMB,FRI,142.3959165,62.9498056,['FRI'],FRI
1098,9.0,30.0,49.260960000000864,+,64.0,22.0,37.009920000012926,CRUMB,FRI,142.705254,64.3769472,['FRI'],FRI
1119,9.0,39.0,50.19984000000037,+,35.0,55.0,53.10011999999915,CRUMB,FRII,144.95916599999998,35.9314167,['FRII'],FRII
1141,9.0,46.0,14.499840000000006,+,58.0,19.0,37.59996000001195,CRUMB,FRI,146.56041599999998,58.3271111,['FRI'],FRI
1142,9.0,47.0,2.406839999999306,+,34.0,3.0,11.750039999990918,CRUMB,FRI,146.76002849999998,34.0532639,['FRI'],FRI
1152,9.0,50.0,7.370879999997726,+,43.0,44.0,0.4199999999917736,CRUMB,FRI,147.53071199999997,43.73345,['FRI'],FRI
1197,10.0,4.0,32.94012000000265,+,31.0,51.0,51.50016000000562,CRUMB,FRII,151.1372505,31.8643056,['FRII'],FRII
1203,10.0,6.0,1.73988000000179,+,34.0,54.0,10.400040000002376,CRUMB,FRII,151.5072495,34.9028889,['FRII'],FRII
1207,10.0,7.0,18.91992000000073,+,44.0,25.0,1.4001599999915015,CRUMB,FRII,151.82883299999995,44.4170556,['FRII'],FRII
1209,10.0,7.0,42.53987999999708,+,59.0,8.0,9.899880000010056,CRUMB,FRII,151.92724949999996,59.1360833,['FRII'],FRII
1222,10.0,11.0,45.4599599999996,+,46.0,28.0,20.100000000009004,CRUMB,FRII,152.9394165,46.47225,['FRII'],FRII
1225,10.0,12.0,20.15207999999859,+,36.0,39.0,35.87004000000377,CRUMB,FRI,153.08396699999997,36.6599639,['FRI'],FRI
1242,10.0,17.0,14.15003999999726,+,39.0,1.0,23.99987999999041,CRUMB,FRII,154.30895849999996,39.0233333,['FRII'],FRII
1246,10.0,18.0,0.8920799999974349,+,63.0,52.0,28.02000000001101,CRUMB,FRI,154.50371699999997,63.87445,['FRI'],FRI
1257,10.0,20.0,49.61004000000031,+,48.0,32.0,4.200000000004707,CRUMB,FRII,155.2067085,48.5345,['FRII'],FRII
1280,10.0,27.0,14.969879999998454,+,46.0,3.0,21.899879999990617,CRUMB,FRII,156.81237449999998,46.0560833,['FRII'],FRII
1300,10.0,33.0,33.86987999999789,+,58.0,14.0,37.8999599999878,CRUMB,FRII,158.39112449999996,58.2438611,['FRII'],FRII
1319,10.0,39.0,30.43007999999702,+,39.0,47.0,18.89987999999676,CRUMB,FRI,159.87679199999997,39.7885833,['FRI'],FRI
1320,10.0,39.0,38.9080800000022,+,55.0,37.0,42.7699199999995,CRUMB,FRI,159.912117,55.6285472,['FRI'],FRI
1324,10.0,40.0,45.339959999999024,+,39.0,54.0,48.49992000000384,CRUMB,FRI,160.18891649999998,39.9134722,['FRI'],FRI
1326,10.0,41.0,4.552080000002121,+,33.0,55.0,11.7098399999918,CRUMB,FRI,160.268967,33.9199194,['FRI'],FRI
1334,10.0,42.0,54.1220399999996,+,29.0,7.0,17.540040000003216,CRUMB,FRI,160.7255085,29.1215389,['FRI'],FRI
1346,10.0,46.0,18.040080000003087,+,54.0,59.0,37.49999999999488,CRUMB,FRII,161.575167,54.99375,['FRII'],FRII
1351,10.0,48.0,55.28016000000065,+,31.0,19.0,45.19992000000087,CRUMB,FRI,162.23033399999997,31.3292222,['FRI'],FRI
1353,10.0,49.0,7.25988000000001,+,55.0,13.0,14.900159999994573,CRUMB,FRI,162.28024949999997,55.2208056,['FRI'],FRI
1363,10.0,51.0,39.59315999999916,+,58.0,7.0,53.29991999999095,CRUMB,FRI,162.91497149999998,58.1314722,['FRI'],FRI
1371,10.0,53.0,44.12003999999968,+,49.0,29.0,55.89995999999701,CRUMB,FRI,163.4338335,49.4988611,['FRI'],FRI
1377,10.0,55.0,0.9861600000007796,+,52.0,2.0,1.2998400000060428,CRUMB,FRI,163.75410899999997,52.0336944,['FRI'],FRI
1384,10.0,57.0,2.790000000000532,+,56.0,45.0,3.099960000005808,CRUMB,FRI,164.26162499999998,56.7508611,['FRI'],FRI
1395,11.0,0.0,2.01996000000193,+,30.0,27.0,42.00011999999475,CRUMB,FRII,165.00841649999998,30.4616667,['FRII'],FRII
1427,11.0,9.0,52.059960000001695,+,37.0,38.0,43.900080000012736,CRUMB,FRII,167.4669165,37.6455278,['FRII'],FRII
1434,11.0,11.0,31.55999999999977,+,35.0,40.0,45.50015999999744,CRUMB,FRII,167.8815,35.6793056,['FRII'],FRII
1436,11.0,11.0,43.61999999999725,+,40.0,49.0,15.300119999992605,CRUMB,FRI,167.93174999999997,40.8209167,['FRI'],FRI
1438,11.0,12.0,11.36988000000045,+,30.0,43.0,52.29983999999888,CRUMB,FRI,168.0473745,30.7311944,['FRI'],FRI
1440,11.0,12.0,38.36016000000299,+,43.0,26.0,27.099959999997623,CRUMB,FRII,168.159834,43.4408611,['FRII'],FRII
1454,11.0,16.0,34.70016000000214,+,29.0,15.0,20.49983999999796,CRUMB,FRI,169.14458399999998,29.2556944,['FRI'],FRI
1458,11.0,18.0,12.229919999996923,+,53.0,19.0,44.69988000000228,CRUMB,FRII,169.55095799999998,53.3290833,['FRII'],FRII
1465,11.0,20.0,40.5160799999976,+,29.0,12.0,26.03987999999504,CRUMB,FRI,170.16881699999996,29.2072333,['FRI'],FRI
1473,11.0,23.0,52.33992000000043,+,44.0,37.0,35.60016000001156,CRUMB,FRI,170.96808299999998,44.6265556,['FRI'],FRI
1476,11.0,24.0,46.44108000000159,+,28.0,57.0,6.270119999998087,CRUMB,FRI,171.1935045,28.9517417,['FRI'],FRI
1511,11.0,33.0,13.179959999997664,+,50.0,8.0,39.90012000000263,CRUMB,FRII,173.30491649999996,50.1444167,['FRII'],FRII
1559,11.0,45.0,31.0298400000022,+,31.0,33.0,37.00008000000537,CRUMB,FRII,176.379291,31.5602778,['FRII'],FRII
1573,11.0,49.0,29.528040000000857,+,49.0,11.0,32.10000000000491,CRUMB,FRI,177.3730335,49.19225,['FRI'],FRI
1603,11.0,55.0,31.13004000000288,+,54.0,53.0,53.69999999999038,CRUMB,FRII,178.8797085,54.89825,['FRII'],FRII
1607,11.0,57.0,29.599919999999287,+,29.0,23.0,8.099880000001463,CRUMB,FRI,179.37333299999997,29.3855833,['FRI'],FRI
1615,12.0,0.0,45.9089999999982,+,29.0,42.0,39.3400800000012,CRUMB,FRI,180.1912875,29.7109278,['FRI'],FRI
1636,12.0,4.0,31.685160000000536,+,37.0,57.0,25.10999999999968,CRUMB,FRI,181.1320215,37.956975,['FRI'],FRI
1662,12.0,9.0,13.520160000000772,+,43.0,39.0,18.69983999999704,CRUMB,FRII,182.306334,43.6551944,['FRII'],FRII
