,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
0,13.0,4.0,9.2,+,18.0,55.0,49.0,AT17,BENT,196.03833333333333,18.93027777777778
1,12.0,17.0,40.0,+,3.0,39.0,58.0,AT17,BENT,184.41666666666663,3.666111111111111
2,15.0,44.0,9.8,+,17.0,55.0,6.0,AT17,BENT,236.04083333333327,17.918333333333333
3,7.0,47.0,57.7,+,37.0,26.0,38.0,AT17,BENT,116.99041666666665,37.443888888888885
4,15.0,6.0,44.2,+,34.0,27.0,59.0,AT17,BENT,226.68416666666664,34.46638888888889
5,15.0,11.0,30.7,+,32.0,28.0,21.0,AT17,BENT,227.87791666666664,32.472500000000004
6,11.0,40.0,19.6,+,53.0,50.0,35.0,AT17,BENT,175.08166666666665,53.84305555555556
7,7.0,41.0,43.0,+,17.0,40.0,56.0,AT17,BENT,115.42916666666666,17.682222222222222
8,8.0,58.0,45.1,+,17.0,10.0,2.0,AT17,BENT,134.68791666666667,17.16722222222222
9,12.0,46.0,19.2,+,26.0,26.0,35.0,AT17,BENT,191.58,26.44305555555556
10,11.0,43.0,40.1,+,7.0,29.0,57.0,AT17,BENT,175.91708333333332,7.499166666666666
11,9.0,48.0,41.7,+,42.0,18.0,17.0,AT17,BENT,147.17375,42.30472222222222
12,13.0,41.0,34.5,+,53.0,44.0,42.0,AT17,BENT,205.39375,53.745
13,0.0,41.0,52.1,+,0.0,28.0,37.0,AT17,BENT,10.467083333333331,0.4769444444444444
14,9.0,12.0,13.2,+,13.0,38.0,47.0,AT17,BENT,138.05499999999995,13.646388888888888
15,13.0,33.0,37.8,-,6.0,58.0,8.0,AT17,BENT,203.4075,-6.968888888888889
16,8.0,19.0,39.4,+,57.0,46.0,9.0,AT17,BENT,124.91416666666665,57.76916666666666
17,11.0,24.0,46.8,+,28.0,57.0,5.0,AT17,BENT,171.195,28.95138888888889
18,12.0,41.0,0.0,+,18.0,33.0,12.0,AT17,BENT,190.25,18.55333333333333
19,2.0,16.0,19.7,-,2.0,44.0,33.0,AT17,BENT,34.08208333333333,-2.7425
20,9.0,13.0,25.0,+,12.0,27.0,39.0,AT17,BENT,138.35416666666666,12.460833333333332
21,10.0,3.0,28.5,-,4.0,38.0,9.0,AT17,BENT,150.86874999999998,-4.635833333333333
22,9.0,18.0,59.3,+,31.0,51.0,40.0,AT17,BENT,139.74708333333334,31.861111111111114
23,14.0,50.0,58.9,+,31.0,21.0,10.0,AT17,BENT,222.74541666666664,31.35277777777777
24,12.0,58.0,19.6,+,44.0,31.0,57.0,AT17,BENT,194.58166666666665,44.5325
25,16.0,3.0,18.6,+,19.0,24.0,14.0,AT17,BENT,240.8275,19.403888888888886
26,7.0,43.0,10.8,+,52.0,3.0,37.0,AT17,BENT,115.795,52.06027777777778
27,9.0,11.0,18.8,+,7.0,32.0,39.0,AT17,BENT,137.82833333333332,7.544166666666666
28,13.0,43.0,36.7,+,29.0,28.0,46.0,AT17,BENT,205.90291666666664,29.479444444444443
29,0.0,3.0,30.7,+,0.0,27.0,56.0,AT17,BENT,0.8779166666666667,0.4655555555555555
30,8.0,39.0,31.0,+,59.0,49.0,56.0,AT17,BENT,129.87916666666666,59.83222222222223
31,8.0,3.0,37.3,+,10.0,51.0,16.0,AT17,BENT,120.90541666666668,10.854444444444445
32,13.0,8.0,17.7,+,17.0,51.0,33.0,AT17,BENT,197.07375,17.859166666666667
33,23.0,37.0,44.3,-,0.0,42.0,8.0,AT17,BENT,354.4345833333333,-0.7022222222222222
34,13.0,36.0,31.1,+,40.0,35.0,35.0,AT17,BENT,204.1295833333333,40.59305555555556
35,7.0,36.0,18.0,+,24.0,10.0,43.0,AT17,BENT,114.07499999999996,24.17861111111112
36,15.0,23.0,50.4,+,36.0,11.0,2.0,AT17,BENT,230.95999999999995,36.18388888888889
37,10.0,8.0,36.7,+,28.0,13.0,1.0,AT17,BENT,152.15291666666664,28.216944444444444
38,14.0,10.0,23.0,+,5.0,15.0,51.0,AT17,BENT,212.5958333333333,5.264166666666667
39,8.0,41.0,22.7,+,61.0,12.0,28.0,AT17,BENT,130.3445833333333,61.20777777777778
40,10.0,42.0,54.6,+,29.0,7.0,17.0,AT17,BENT,160.7275,29.12138888888889
41,14.0,13.0,30.4,+,48.0,44.0,27.0,AT17,BENT,213.37666666666664,48.740833333333335
42,13.0,18.0,12.0,+,51.0,26.0,17.0,AT17,BENT,199.55,51.43805555555555
43,9.0,12.0,43.7,-,4.0,40.0,38.0,AT17,BENT,138.18208333333328,-4.677222222222222
44,17.0,6.0,16.4,+,20.0,6.0,52.0,AT17,BENT,256.5683333333333,20.114444444444445
45,16.0,22.0,28.9,+,26.0,46.0,54.0,AT17,BENT,245.6204166666666,26.781666666666663
46,7.0,14.0,6.0,+,51.0,0.0,0.0,AT17,BENT,108.525,51.0
47,1.0,32.0,47.1,+,1.0,15.0,45.0,AT17,BENT,23.19625,1.2625
48,9.0,44.0,55.2,-,6.0,16.0,3.0,AT17,BENT,146.22999999999996,-6.2675
49,22.0,18.0,42.8,-,9.0,21.0,39.0,AT17,BENT,334.67833333333334,-9.360833333333334
50,10.0,22.0,16.4,-,4.0,20.0,53.0,AT17,BENT,155.56833333333333,-4.348055555555555
51,9.0,57.0,16.4,+,19.0,6.0,51.0,AT17,BENT,149.3183333333333,19.11416666666667
52,14.0,40.0,20.8,+,11.0,25.0,6.0,AT17,BENT,220.08666666666664,11.418333333333331
53,8.0,24.0,44.7,+,52.0,0.0,33.0,AT17,BENT,126.18625,52.009166666666665
54,9.0,35.0,24.9,+,23.0,55.0,5.0,AT17,BENT,143.85375,23.91805555555556
55,13.0,42.0,59.3,-,3.0,34.0,22.0,AT17,BENT,205.7470833333333,-3.5727777777777776
56,15.0,1.0,4.8,+,8.0,57.0,1.0,AT17,BENT,225.27,8.950277777777776
57,10.0,51.0,29.8,+,5.0,3.0,25.0,AT17,BENT,162.87416666666664,5.0569444444444445
58,17.0,12.0,25.4,+,29.0,10.0,20.0,AT17,BENT,258.1058333333333,29.172222222222224
59,7.0,29.0,30.2,+,59.0,49.0,52.0,AT17,BENT,112.37583333333332,59.83111111111111
60,12.0,6.0,19.8,+,3.0,47.0,0.0,AT17,BENT,181.58249999999995,3.783333333333333
61,9.0,17.0,7.8,+,55.0,9.0,3.0,AT17,BENT,139.2825,55.15083333333333
62,17.0,17.0,26.1,+,37.0,35.0,4.0,AT17,BENT,259.35875,37.58444444444444
63,15.0,21.0,26.8,+,31.0,57.0,31.0,AT17,BENT,230.36166666666665,31.95861111111111
64,13.0,17.0,38.3,+,19.0,10.0,16.0,AT17,BENT,199.40958333333333,19.17111111111112
65,22.0,39.0,2.4,-,9.0,32.0,35.0,AT17,BENT,339.75999999999993,-9.543055555555556
66,8.0,29.0,10.5,+,63.0,22.0,29.0,AT17,BENT,127.29374999999996,63.37472222222223
67,9.0,44.0,43.2,+,2.0,47.0,54.0,AT17,BENT,146.17999999999998,2.7983333333333333
68,12.0,8.0,13.7,+,44.0,3.0,44.0,AT17,BENT,182.0570833333333,44.06222222222222
69,14.0,6.0,17.9,+,27.0,56.0,15.0,AT17,BENT,211.5745833333333,27.9375
70,8.0,28.0,35.1,+,32.0,28.0,21.0,AT17,BENT,127.14625,32.472500000000004
71,14.0,35.0,5.9,-,4.0,9.0,24.0,AT17,BENT,218.7745833333333,-4.156666666666667
72,16.0,30.0,31.4,+,28.0,54.0,5.0,AT17,BENT,247.6308333333333,28.90138888888889
73,13.0,16.0,16.9,+,7.0,2.0,46.0,AT17,BENT,199.07041666666663,7.046111111111111
74,11.0,18.0,33.4,+,31.0,15.0,15.0,AT17,BENT,169.63916666666665,31.254166666666663
75,15.0,24.0,39.9,+,62.0,2.0,25.0,AT17,BENT,231.16625,62.040277777777774
76,14.0,50.0,22.4,+,27.0,28.0,20.0,AT17,BENT,222.5933333333333,27.47222222222222
77,8.0,41.0,32.7,-,2.0,3.0,18.0,AT17,BENT,130.38625,-2.055
78,13.0,8.0,33.4,+,53.0,11.0,18.0,AT17,BENT,197.13916666666665,53.18833333333333
79,7.0,14.0,24.6,+,40.0,15.0,59.0,AT17,BENT,108.6025,40.26638888888889
80,9.0,55.0,39.2,+,1.0,35.0,49.0,AT17,BENT,148.9133333333333,1.5969444444444445
81,16.0,54.0,22.4,+,48.0,8.0,46.0,AT17,BENT,253.5933333333333,48.14611111111111
