,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
257,11.0,40.0,27.69,+,12.0,3.0,7.6,AT17,FRI,175.11537499999997,12.052111111111111
258,11.0,45.0,5.23,+,19.0,36.0,37.8,AT17,FRI,176.27179166666667,19.6105
259,12.0,19.0,15.33,+,5.0,49.0,40.4,AT17,FRI,184.813875,5.8278888888888885
260,12.0,30.0,49.46,+,12.0,23.0,21.6,AT17,FRI,187.7060833333333,12.389333333333331
262,13.0,42.0,43.57,+,5.0,4.0,31.5,AT17,FRI,205.68154166666665,5.0754166666666665
264,14.0,16.0,53.5,+,10.0,48.0,40.2,AT17,FRI,214.22291666666663,10.811166666666669
266,15.0,13.0,39.9,+,26.0,7.0,33.7,AT17,FRI,228.41625,26.12602777777778
268,16.0,43.0,48.69,+,17.0,15.0,48.8,AT17,FRI,250.952875,17.263555555555556
269,14.0,55.0,55.36,+,11.0,51.0,44.7,AT17,FRI,223.98066666666665,11.862416666666666
270,15.0,0.0,24.05,+,20.0,12.0,37.8,AT17,FRI,225.10020833333328,20.2105
271,15.0,11.0,9.08,+,18.0,1.0,53.8,AT17,FRI,227.7878333333333,18.03161111111111
272,15.0,15.0,3.43,+,22.0,31.0,45.4,AT17,FRI,228.76429166666665,22.52927777777777
274,15.0,34.0,17.83,+,10.0,17.0,8.4,AT17,FRI,233.57429166666665,10.285666666666666
275,15.0,47.0,30.07,+,14.0,56.0,55.7,AT17,FRI,236.87529166666664,14.948805555555555
276,14.0,33.0,46.69,-,2.0,23.0,22.5,AT17,FRI,218.44454166666665,-2.3895833333333334
277,14.0,38.0,25.93,-,1.0,0.0,1.5,AT17,FRI,219.60804166666665,-1.0004166666666667
278,11.0,5.0,35.78,+,9.0,19.0,56.3,AT17,FRI,166.39908333333332,9.332305555555555
279,10.0,20.0,8.61,+,17.0,48.0,17.4,AT17,FRI,155.03587499999998,17.804833333333335
281,9.0,42.0,2.04,+,10.0,58.0,18.3,AT17,FRI,145.50849999999997,10.97175
282,12.0,5.0,22.29,+,5.0,9.0,41.4,AT17,FRI,181.342875,5.1615
283,14.0,3.0,13.28,+,6.0,10.0,8.2,AT17,FRI,210.8053333333333,6.168944444444445
284,15.0,1.0,48.14,+,16.0,33.0,45.6,AT17,FRI,225.4505833333333,16.56266666666667
285,23.0,47.0,2.42,+,1.0,3.0,0.9,AT17,FRI,356.7600833333333,1.05025
287,10.0,58.0,47.67,+,16.0,45.0,26.0,AT17,FRI,164.698625,16.75722222222222
288,13.0,6.0,19.24,+,11.0,13.0,39.7,AT17,FRI,196.58016666666663,11.227694444444444
289,9.0,2.0,45.43,+,16.0,47.0,10.4,AT17,FRI,135.68929166666666,16.786222222222225
290,16.0,27.0,0.42,+,27.0,55.0,47.7,AT17,FRI,246.75175,27.929916666666667
291,8.0,16.0,4.4,+,11.0,24.0,49.4,AT17,FRI,124.01833333333332,11.413722222222225
292,12.0,15.0,43.82,+,17.0,9.0,17.6,AT17,FRI,183.93258333333333,17.154888888888888
294,8.0,18.0,49.74,+,4.0,6.0,31.5,AT17,FRI,124.70725,4.10875
295,13.0,23.0,2.49,+,17.0,28.0,32.9,AT17,FRI,200.76037499999995,17.475805555555553
297,0.0,29.0,0.98,+,1.0,13.0,41.7,AT17,FRI,7.254083333333333,1.22825
298,10.0,31.0,26.6,+,11.0,52.0,50.5,AT17,FRI,157.86083333333332,11.880694444444446
301,1.0,35.0,3.43,+,0.0,54.0,27.6,AT17,FRI,23.764291666666665,0.9076666666666668
302,16.0,54.0,48.44,+,26.0,18.0,41.3,AT17,FRI,253.7018333333333,26.31147222222222
305,21.0,20.0,5.0,+,7.0,53.0,50.1,AT17,FRI,320.0208333333333,7.89725
306,14.0,39.0,28.78,+,11.0,6.0,13.8,AT17,FRI,219.86991666666663,11.103833333333332
308,13.0,52.0,14.56,+,12.0,34.0,1.7,AT17,FRI,208.06066666666663,12.56713888888889
309,15.0,54.0,1.99,+,15.0,9.0,46.8,AT17,FRI,238.50829166666665,15.163
310,11.0,19.0,11.13,+,8.0,15.0,39.8,AT17,FRI,169.79637499999998,8.261055555555556
312,11.0,24.0,57.4,+,17.0,17.0,44.7,AT17,FRI,171.23916666666665,17.29575
315,13.0,20.0,17.54,+,4.0,30.0,37.4,AT17,FRI,200.0730833333333,4.510388888888889
321,8.0,20.0,25.14,+,16.0,1.0,23.2,AT17,FRI,125.10474999999998,16.02311111111111
323,12.0,54.0,34.93,+,2.0,34.0,12.4,AT17,FRI,193.64554166666665,2.570111111111111
324,16.0,28.0,6.2,+,8.0,45.0,38.0,AT17,FRI,247.0258333333333,8.760555555555555
328,15.0,22.0,35.19,+,15.0,57.0,7.6,AT17,FRI,230.646625,15.95211111111111
330,1.0,33.0,27.25,+,8.0,24.0,16.4,AT17,FRI,23.363541666666663,8.404555555555556
331,16.0,30.0,43.14,+,16.0,39.0,10.8,AT17,FRI,247.67975,16.653
332,14.0,55.0,55.27,+,11.0,51.0,41.4,AT17,FRI,223.98029166666663,11.8615
333,11.0,20.0,55.83,+,17.0,38.0,54.0,AT17,FRI,170.23262499999998,17.648333333333333
334,14.0,36.0,38.56,+,1.0,10.0,58.8,AT17,FRI,219.16066666666663,1.183
335,15.0,52.0,22.36,+,22.0,33.0,11.9,AT17,FRI,238.09316666666663,22.55330555555556
336,9.0,14.0,42.02,+,15.0,21.0,55.7,AT17,FRI,138.6750833333333,15.365472222222222
337,11.0,55.0,8.97,+,23.0,26.0,23.4,AT17,FRI,178.78737499999997,23.439833333333333
342,0.0,43.0,0.63,+,9.0,13.0,46.3,AT17,FRI,10.752625,9.229527777777776
345,8.0,32.0,24.13,+,16.0,49.0,49.1,AT17,FRI,128.10054166666663,16.830305555555555
347,14.0,32.0,57.81,+,4.0,37.0,15.1,AT17,FRI,218.240875,4.620861111111112
348,10.0,49.0,21.13,+,0.0,40.0,5.0,AT17,FRI,162.33804166666664,0.6680555555555555
349,8.0,15.0,23.21,+,11.0,57.0,15.1,AT17,FRI,123.84670833333332,11.954194444444443
350,11.0,43.0,45.53,+,19.0,23.0,33.4,AT17,FRI,175.93970833333333,19.392611111111112
354,12.0,15.0,34.18,+,13.0,56.0,35.0,AT17,FRI,183.89241666666663,13.943055555555556
355,14.0,16.0,52.94,+,10.0,48.0,26.7,AT17,FRI,214.2205833333333,10.807416666666668
356,8.0,57.0,19.46,+,24.0,11.0,42.6,AT17,FRI,134.3310833333333,24.195166666666665
357,17.0,11.0,37.98,+,58.0,3.0,30.2,AT17,FRI,257.90824999999995,58.058388888888885
360,12.0,25.0,32.09,+,19.0,26.0,15.2,AT17,FRI,186.3837083333333,19.437555555555555
361,12.0,46.0,22.48,+,7.0,53.0,27.9,AT17,FRI,191.59366666666665,7.891083333333333
363,10.0,19.0,37.94,+,0.0,19.0,55.7,AT17,FRI,154.9080833333333,0.3321388888888889
366,15.0,27.0,15.31,+,13.0,36.0,50.9,AT17,FRI,231.81379166666665,13.614138888888888
367,1.0,34.0,12.78,+,1.0,7.0,29.4,AT17,FRI,23.553249999999995,1.1248333333333334
368,8.0,9.0,23.1,+,21.0,15.0,46.2,AT17,FRI,122.34624999999998,21.262833333333333
369,2.0,54.0,37.99,+,0.0,56.0,21.9,AT17,FRI,43.65829166666666,0.9394166666666668
370,9.0,30.0,58.74,+,3.0,48.0,27.7,AT17,FRI,142.74474999999998,3.807694444444444
372,12.0,11.0,21.12,+,14.0,14.0,39.2,AT17,FRI,182.838,14.244222222222222
373,17.0,6.0,2.2,+,20.0,17.0,57.8,AT17,FRI,256.50916666666666,20.29938888888889
375,11.0,42.0,12.11,+,10.0,11.0,59.0,AT17,FRI,175.5504583333333,10.199722222222222
376,15.0,39.0,32.09,+,1.0,37.0,10.5,AT17,FRI,234.8837083333333,1.6195833333333334
379,13.0,10.0,53.44,+,2.0,28.0,41.5,AT17,FRI,197.72266666666664,2.4781944444444446
381,12.0,16.0,19.95,+,15.0,54.0,17.7,AT17,FRI,184.083125,15.904916666666669
382,17.0,12.0,23.15,+,64.0,1.0,57.1,AT17,FRI,258.0964583333333,64.03252777777777
383,15.0,18.0,45.72,+,6.0,13.0,56.1,AT17,FRI,229.6905,6.2322500000000005
391,0.0,45.0,30.46,+,0.0,47.0,46.9,AT17,FRI,11.376916666666666,0.7963611111111111
396,11.0,59.0,36.05,+,23.0,39.0,47.5,AT17,FRI,179.9002083333333,23.663194444444443
397,15.0,53.0,11.93,+,27.0,33.0,20.6,AT17,FRI,238.29970833333329,27.555722222222222
398,8.0,31.0,38.83,+,22.0,34.0,22.9,AT17,FRI,127.91179166666666,22.57302777777777
403,13.0,45.0,29.5,+,5.0,49.0,52.9,AT17,FRI,206.37291666666667,5.831361111111111
404,22.0,31.0,43.19,+,8.0,24.0,31.7,AT17,FRI,337.9299583333333,8.408805555555556
405,7.0,35.0,5.25,+,41.0,58.0,27.5,AT17,FRI,113.77187499999998,41.97430555555556
407,8.0,29.0,26.46,+,22.0,44.0,36.3,AT17,FRI,127.36024999999998,22.74341666666667
408,13.0,2.0,3.58,+,0.0,50.0,12.3,AT17,FRI,195.51491666666664,0.83675
409,17.0,1.0,15.59,+,24.0,6.0,8.4,AT17,FRI,255.3149583333333,24.10233333333333
410,8.0,19.0,32.66,+,20.0,7.0,48.8,AT17,FRI,124.88608333333332,20.130222222222223
413,16.0,29.0,18.66,+,13.0,38.0,24.0,AT17,FRI,247.32775,13.64
414,17.0,5.0,43.99,+,58.0,30.0,1.2,AT17,FRI,256.4332916666666,58.50033333333333
415,16.0,48.0,45.08,+,25.0,41.0,19.5,AT17,FRI,252.1878333333333,25.68875
418,1.0,52.0,53.79,+,0.0,10.0,5.5,AT17,FRI,28.224125,0.1681944444444444
