,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
362,7.0,30.0,14.37,+,39.0,32.0,0.4,AT17,FRI,112.559875,39.53344444444444
4405,7.0,30.0,14.37,+,39.0,32.0,0.4,FRDEEP,FRI,112.559875,39.53344444444444
788,7.0,33.0,0.7470000000000709,+,39.0,25.0,6.348000000002685,CRUMB,FRII,113.2531125,39.41843
794,7.0,37.0,19.17839999999956,+,29.0,29.0,32.17200000000474,CRUMB,FRI,114.32990999999998,29.49227
803,7.0,45.0,35.731079999999906,+,33.0,57.0,46.69199999999478,CRUMB,FRI,116.39887949999998,33.96297
2821,7.0,45.0,42.13,+,31.0,42.0,52.6,CoNFIG,FRII,116.42554166666666,31.71461111111111
4249,7.0,45.0,42.13,+,31.0,42.0,52.6,FRDEEP,FRII,116.42554166666666,31.71461111111111
807,7.0,47.0,56.41655999999983,+,37.0,26.0,31.38000000000659,CRUMB,FRII,116.98506899999998,37.44205
811,7.0,52.0,21.83520000000044,+,33.0,33.0,48.92399999999213,CRUMB,FRII,118.09098,33.56359
431,7.0,53.0,9.91,+,35.0,55.0,57.1,AT17,FRI,118.29129166666664,35.93252777777778
3804,7.0,53.0,9.91,+,35.0,55.0,57.1,FRDEEP,FRI,118.29129166666664,35.93252777777778
3945,7.0,55.0,6.67,+,26.0,21.0,15.9,FRDEEP,FRI,118.77779166666666,26.35441666666667
815,7.0,55.0,6.6741599999994605,+,26.0,21.0,15.94800000000248,CRUMB,FRI,118.777809,26.35443
817,7.0,56.0,25.75932000000165,+,37.0,3.0,29.700000000003683,CRUMB,FRII,119.1073305,37.05825
822,7.0,58.0,28.108559999998874,+,37.0,47.0,11.651999999991176,CRUMB,FRI,119.617119,37.78657
2823,7.0,58.0,28.6,+,37.0,47.0,13.8,CoNFIG,FRI,119.61916666666664,37.78716666666666
4056,7.0,58.0,28.6,+,37.0,47.0,13.8,FRDEEP,FRI,119.61916666666664,37.78716666666666
2824,7.0,59.0,47.26,+,37.0,38.0,50.2,CoNFIG,FRII,119.94691666666664,37.64727777777778
3791,7.0,59.0,47.26,+,37.0,38.0,50.2,FRDEEP,FRII,119.94691666666664,37.64727777777778
828,8.0,1.0,13.278719999996866,+,34.0,40.0,30.86400000000821,CRUMB,FRI,120.30532799999996,34.67524
388,8.0,1.0,13.28,+,34.0,40.0,30.8,AT17,FRI,120.30533333333332,34.67522222222222
4273,8.0,1.0,13.28,+,34.0,40.0,30.8,FRDEEP,FRI,120.30533333333332,34.67522222222222
2825,8.0,1.0,35.32,+,50.0,9.0,43.0,CoNFIG,FRII,120.39716666666664,50.16194444444445
402,8.0,3.0,26.62,+,30.0,37.0,25.0,AT17,FRI,120.86091666666664,30.62361111111111
3827,8.0,3.0,26.62,+,30.0,37.0,25.0,FRDEEP,FRI,120.86091666666664,30.62361111111111
833,8.0,3.0,47.27772000000215,+,53.0,48.0,8.711999999992486,CRUMB,FRII,120.9469905,53.80242
840,8.0,7.0,8.642640000001762,+,33.0,27.0,18.10800000000256,CRUMB,FRII,121.786011,33.45503
843,8.0,9.0,38.88251999999767,+,34.0,55.0,37.23600000001,CRUMB,FRI,122.41201049999998,34.92701
2827,8.0,10.0,3.67,+,42.0,28.0,4.0,CoNFIG,FRII,122.51529166666666,42.467777777777776
3868,8.0,10.0,3.67,+,42.0,28.0,4.0,FRDEEP,FRII,122.51529166666666,42.467777777777776
845,8.0,11.0,11.507999999997908,+,28.0,47.0,50.49600000000424,CRUMB,FRI,122.79794999999996,28.79736
846,8.0,11.0,25.636560000002504,+,43.0,37.0,42.31199999999433,CRUMB,FRI,122.856819,43.62842
847,8.0,11.0,40.49736000000138,+,40.0,14.0,57.335999999998535,CRUMB,FRI,122.918739,40.24926
849,8.0,12.0,43.76951999999747,+,25.0,2.0,47.255999999999005,CRUMB,FRI,123.18237299999996,25.04646
850,8.0,12.0,45.94103999999916,+,57.0,47.0,51.03600000000938,CRUMB,FRII,123.19142099999998,57.79751
2828,8.0,12.0,59.48,+,32.0,43.0,5.6,CoNFIG,FRII,123.24783333333332,32.718222222222224
4030,8.0,12.0,59.48,+,32.0,43.0,5.6,FRDEEP,FRII,123.24783333333332,32.718222222222224
852,8.0,13.0,0.1318800000025533,+,43.0,47.0,48.84000000000299,CRUMB,FRI,123.2505495,43.7969
3841,8.0,13.0,36.07,+,48.0,13.0,1.9,FRDEEP,FRII,123.40029166666665,48.217194444444445
856,8.0,13.0,43.593599999999526,+,26.0,55.0,11.49599999999964,CRUMB,FRII,123.43164,26.91986
857,8.0,13.0,43.61952000000187,+,52.0,57.0,38.19600000000946,CRUMB,FRII,123.431748,52.96061
858,8.0,14.0,21.688799999997457,+,52.0,24.0,10.079999999996971,CRUMB,FRI,123.59036999999998,52.4028
860,8.0,15.0,12.342959999998016,+,38.0,40.0,45.47999999999206,CRUMB,FRII,123.80142899999996,38.6793
863,8.0,16.0,1.8861599999974032,+,38.0,4.0,15.38400000000081,CRUMB,FRII,124.00785899999995,38.07094
386,8.0,16.0,14.27,+,42.0,56.0,57.6,AT17,FRI,124.05945833333332,42.94933333333333
4126,8.0,16.0,14.27,+,42.0,56.0,57.6,FRDEEP,FRI,124.05945833333332,42.94933333333333
869,8.0,17.0,34.46231999999682,+,44.0,58.0,50.843999999996186,CRUMB,FRII,124.39359299999995,44.98079
870,8.0,18.0,0.7433999999993546,+,49.0,56.0,11.940000000000737,CRUMB,FRI,124.50309749999998,49.93665
871,8.0,18.0,3.868919999996905,+,54.0,37.0,8.508000000007883,CRUMB,FRI,124.51612049999996,54.61903
874,8.0,18.0,52.44516000000246,+,26.0,23.0,54.06000000000233,CRUMB,FRII,124.7185215,26.39835
877,8.0,19.0,2.109359999999185,+,49.0,37.0,35.97600000000398,CRUMB,FRII,124.75878899999998,49.62666
4171,8.0,19.0,47.55,+,52.0,32.0,29.5,FRDEEP,FRII,124.94812499999998,52.54152777777777
300,8.0,20.0,28.09,+,48.0,53.0,47.3,AT17,FRI,125.11704166666668,48.89647222222222
3857,8.0,20.0,28.09,+,48.0,53.0,47.3,FRDEEP,FRI,125.11704166666668,48.89647222222222
884,8.0,21.0,21.26952000000003,+,25.0,19.0,3.035999999995056,CRUMB,FRI,125.33862299999998,25.31751
4093,8.0,21.0,33.77,+,47.0,2.0,35.7,FRDEEP,FRII,125.39070833333332,47.04325
