,Neighbourhood,Types
0,"[5704, 8628, 261, 10292]","{'FRI', 'FRII'}"
1,"[273, 6770, 2481, 9110, 5240]","{'FRI', 'FRII'}"
2,"[8005, 436, 829, 7119]","{'FRI', 'FRII'}"
3,"[9155, 2532, 5268, 7723, 493]","{'FRI', 'FRII'}"
4,"[2705, 5361, 503, 9289, 7707]","{'FRI', 'FRII'}"
5,"[4748, 534, 7047, 1483, 8396]","{'FRI', 'FRII'}"
6,"[8433, 7508, 1542, 4776, 538]","{'FRI', 'FRII'}"
7,"[1747, 7828, 4853, 550, 8559]","{'FRI', 'FRII'}"
8,"[961, 4531, 5652, 7317, 9876, 7127, 2846]","{'FRI', 'FRII'}"
9,"[1436, 4726, 3151]","{'FRI', 'FRII'}"
10,"[2148, 17367]","{'FRI', 'FRII'}"
11,"[8456, 6253, 2927]","{'COMPACT', 'FRI'}"
12,"[3712, 4738, 6365, 13310]","{'COMPACT', 'FRI'}"
13,"[9625, 5650, 8053]","{'FRI', 'FRII'}"
14,"[9515, 8115, 7669, 5655]","{'FRI', 'FRII'}"
15,"[7568, 8253, 5669, 9982]","{'FRI', 'FRII'}"
16,"[8307, 5675, 9989]","{'FRI', 'FRII'}"
17,"[8370, 9995, 5684, 7607]","{'FRI', 'FRII'}"
18,"[8421, 7277, 9753, 5687]","{'FRI', 'FRII'}"
19,"[9943, 5692, 8447]","{'FRI', 'FRII'}"
20,"[8582, 7435, 9948, 5702]","{'FRI', 'FRII'}"
21,"[10331, 8660, 5709, 7829]","{'FRI', 'FRII'}"
22,"[10347, 5715, 8695]","{'FRI', 'FRII'}"
23,"[8696, 5716, 10223]","{'FRI', 'FRII'}"
24,"[9806, 7701, 5742, 9149]","{'FRI', 'FRII'}"
25,"[10010, 7123, 15591]","{'FRI', 'FRII'}"
26,"[9752, 13196, 13189]","{'FRI', 'FRII'}"
27,"[12617, 9787]","{'FRI', 'FRII'}"
28,"[9811, 17343]","{'FRI', 'FRII'}"
29,"[17925, 9813]","{'FRI', 'FRII'}"
30,"[16440, 9887]","{'FRI', 'FRII'}"
31,"[14235, 14231]","{'FRI', 'FRII'}"
32,"[16626, 16628]","{'FRI', 'FRII'}"
33,"[17156, 17158]","{'FRI', 'FRII'}"
34,"[17353, 17349, 17350]","{'FRI', 'FRII'}"
