,Source
0,8200
1,8203
2,8212
3,8217
4,8220
5,8228
6,8237
7,16429
8,8239
9,16432
10,8252
11,8255
12,8261
13,8263
14,16456
15,8265
16,8266
17,8267
18,8271
19,8277
20,8280
21,8283
22,8289
23,8290
24,8295
25,8296
26,8307
27,8312
28,8313
29,8322
30,8326
31,8327
32,8333
33,8339
34,8340
35,8346
36,8358
37,8360
38,8362
39,8368
40,8369
41,8370
42,8373
43,16566
44,4281
45,8387
46,8389
47,8395
48,8396
49,8397
50,8407
51,8411
52,8412
53,8417
54,4324
55,8425
56,8428
57,8433
58,8435
59,16628
60,8437
61,8440
62,8441
63,255
64,256
65,8447
66,261
67,8455
68,8456
69,265
70,8458
71,267
72,8457
73,8463
74,8466
75,8467
76,8469
77,8470
78,8473
79,8474
80,8476
81,8478
82,8479
83,293
84,16681
85,8490
86,8501
87,311
88,313
89,320
90,322
91,8516
92,327
93,8520
94,329
95,8519
96,8523
97,340
98,8532
99,8539
100,353
101,358
102,8553
103,8559
104,8560
105,4468
106,8565
107,8568
108,4472
109,8569
110,4474
111,8574
112,4479
113,4480
114,4481
115,8577
116,387
117,4484
118,8581
119,8582
120,4485
121,8580
122,4487
123,4486
124,8587
125,4492
126,4493
127,8590
128,4496
129,8596
130,8597
131,406
132,8599
133,8600
134,4506
135,8603
136,4507
137,4510
138,12702
139,4512
140,4513
141,8620
142,8622
143,4527
144,4528
145,4526
146,8628
147,436
148,8630
149,437
150,438
151,439
152,441
153,4538
154,443
155,4540
156,444
157,8639
158,4541
159,446
160,8640
161,447
162,448
163,450
164,4550
165,451
166,4547
167,4551
168,455
169,4553
170,456
171,457
172,461
173,462
174,463
175,465
176,466
177,8660
178,469
179,470
180,472
181,4570
182,4571
183,4572
184,8668
185,4573
186,478
187,4575
188,479
189,482
190,4574
191,4581
192,486
193,8679
194,4586
195,8684
196,493
197,496
198,4595
199,500
200,8695
201,4600
202,8697
203,8696
204,507
205,8699
206,511
207,8704
208,8711
209,520
210,526
211,528
212,529
213,530
214,4627
215,4628
216,4626
217,4631
218,4633
219,538
220,4634
221,4638
222,545
223,8738
224,4644
225,4645
226,550
227,4647
228,8742
229,554
230,4657
231,4658
232,4661
233,8758
234,4663
235,4666
236,4668
237,4670
238,8768
239,4674
240,4676
241,4677
242,4681
243,4683
244,4684
245,4685
246,4688
247,4691
248,4694
249,4695
250,8793
251,4699
252,4701
253,4702
254,4703
255,4704
